n,e_total,temperature,e_pot,e_kin
561,-1964.666094108568132,498.940088336953011,-2000.846664463209891,36.180570354643095
561,-1963.940191575463587,501.400834622747936,-2000.299202601042680,36.359011025575853
561,-1963.214269988758133,504.269055710631449,-1999.781269663250441,36.566999674491100
561,-1962.488346756821329,508.771264746277950,-1999.381823486514577,36.893476729699138
561,-1961.762453057655648,514.626989809224938,-1999.080556866979123,37.318103809322238
561,-1961.036549240947807,521.412718018195392,-1998.846719177265186,37.810169936320534
561,-1960.310636112793873,522.868209812894293,-1998.226350831964055,37.915714719170573
561,-1959.584701578153044,531.800746751997622,-1998.148157957544299,38.563456379392463
561,-1958.858835954081769,532.970400566243484,-1997.507109615361969,38.648273661278935
561,-1958.132909631016901,539.238819933348623,-1997.235736841359085,39.102827210343065
561,-1957.407008864011914,544.404279648901024,-1996.884408659367409,39.477399795351289
561,-1956.681109327064632,545.594405248337694,-1996.244810912924777,39.563701585862439
561,-1955.955164915569640,549.432575031800980,-1995.797190843632052,39.842025928062611
561,-1955.229274226010830,552.179024620314749,-1995.270458559835561,40.041184333822201
561,-1954.503367524204350,559.587066459404468,-1995.081744970416594,40.578377446211093
561,-1953.777447176081296,566.378115035974247,-1994.848276554994982,41.070829378917757
561,-1953.051555958771360,569.875357676364047,-1994.375987396044138,41.324431437272260
561,-1952.325610705183635,567.099061633873134,-1993.448719425281070,41.123108720099111
561,-1951.599738657014996,574.076625248594155,-1993.228824421590161,41.629085764573311
561,-1950.873760941601859,580.885567848893288,-1992.996596221494428,42.122835279894815
561,-1950.147910287313152,582.645144766142607,-1992.398341039967818,42.250430752652115
561,-1949.421982910131419,586.285156276018029,-1991.936368585634455,42.514385675504116
561,-1948.696058862206201,592.603397104148257,-1991.668610883011979,42.972552020809680
561,-1947.970148680901730,593.590328867595304,-1991.014267919775875,43.044119238873158
561,-1947.244224393635932,596.170848510018686,-1990.475469651560388,43.231245257921792
561,-1946.518335500183412,603.084927783351532,-1990.250954244489321,43.732618744306009
561,-1945.792437482914920,600.180138057802310,-1989.314415808685908,43.521978325772139
