nb_processes,n,e_total,e_pot,e_kin
1,923,-3129.540813137608893,-3129.545342113758124,0.004528976149170
1,923,-3129.540855793305582,-3130.081887631428799,0.541031838123442
1,923,-3129.540960719555187,-3131.447155810945333,1.906195091390015
1,923,-3129.541106157558261,-3133.475986745971568,3.934880588413330
1,923,-3129.541265299007591,-3135.938218067264643,6.396952768257218
1,923,-3129.541410940496462,-3138.581737411544964,9.040326471048438
1,923,-3129.541521440466568,-3141.175182025204776,11.633660584738355
1,923,-3129.541584697135931,-3143.541727523156624,14.000142826020467
1,923,-3129.541600489840221,-3145.577754787853792,16.036154298013724
1,923,-3129.541581467414289,-3147.252443008733280,17.710861541318838
1,923,-3129.541548131644049,-3148.588283772696286,19.046735641052411
1,923,-3129.541519934597090,-3149.629625872569704,20.088105937972387
1,923,-3129.541504941500079,-3150.413514733244028,20.872009791744119
1,923,-3129.541497629784317,-3150.957207282223862,21.415709652439531
1,923,-3129.541483997268642,-3151.266656194065945,21.725172196797317
1,923,-3129.541453113953139,-3151.356750749310777,21.815297635357535
1,923,-3129.541404092736229,-3151.267875097634715,21.726471004898336
1,923,-3129.541345779007315,-3151.068144820277666,21.526799041270440
1,923,-3129.541291100682429,-3150.841017427012957,21.299726326330344
1,923,-3129.541250833474805,-3150.665944532339381,21.124693698864505
1,923,-3129.541230727219045,-3150.601259300654419,21.060028573435517
1,923,-3129.541231659166442,-3150.674647024391561,21.133415365225062
1,923,-3129.541250990816934,-3150.881396912145647,21.340145921328585
1,923,-3129.541284698703748,-3151.187764974045422,21.646480275341581
1,923,-3129.541328134483138,-3151.536933611712811,21.995605477229805
1,923,-3129.541375626845820,-3151.856596380315295,22.315220753469383
1,923,-3129.541420355737500,-3152.068268438215455,22.526848082478100
1,923,-3129.541454896731921,-3152.098363709177647,22.556908812445762
1,923,-3129.541472176688330,-3151.890213380412206,22.348741203724053
1,923,-3129.541467587765510,-3151.415061268193767,21.873593680428090
1,923,-3129.541440795384460,-3150.679101622878079,21.137660827493555
1,923,-3129.541397319620046,-3149.723387244104288,20.181989924484132
1,923,-3129.541348331159043,-3148.614657837700179,19.073309506541094
1,923,-3129.541306710665140,-3147.428181912764558,17.886875202099347
1,923,-3129.541282669705197,-3146.227672829543735,16.686390159838410
1,923,-3129.541278827477527,-3145.049981957672117,15.508703130194505
1,923,-3129.541288377112323,-3143.901429378100602,14.360141000988378
1,923,-3129.541298351957721,-3142.767968305985050,13.226669954027155
1,923,-3129.541295395559246,-3141.634940285574885,12.093644890015661
1,923,-3129.541272290898632,-3140.507277418874764,10.966005127976285
1,923,-3129.541231707094539,-3139.420335497859469,9.879103790765051
1,923,-3129.541185249950559,-3138.435733452305158,8.894548202354640
1,923,-3129.541147801918214,-3137.623842738824351,8.082694936905931
1,923,-3129.541130672633699,-3137.041229288820432,7.500098616186948
1,923,-3129.541137110484215,-3136.713366599206893,7.172229488722676
1,923,-3129.541162844333030,-3136.629048553753364,7.087885709420329
1,923,-3129.541199354863693,-3136.746401657605929,7.205202302742212
1,923,-3129.541237096636451,-3137.005946251229943,7.464709154593473
1,923,-3129.541268241078797,-3137.345376969934478,7.804108728855795
1,923,-3129.541288206427907,-3137.712011685026937,8.170723478599065
1,923,-3129.541295868913949,-3138.070477806640156,8.529181937726147
1,923,-3129.541293457763004,-3138.404768070245154,8.863474612482261
1,923,-3129.541284653613729,-3138.715412614536945,9.174127960923002
1,923,-3129.541273327633917,-3139.013884003319617,9.472610675685626
1,923,-3129.541262088951498,-3139.316761590263923,9.775499501312584
1,923,-3129.541252653712036,-3139.641293842146297,10.100041188434133
1,923,-3129.541246349101129,-3140.002445070711474,10.461198721610359
1,923,-3129.541244395416470,-3140.410574847294356,10.869330451877742
1,923,-3129.541247968789776,-3140.869235035852398,11.327987067062526
1,923,-3129.541256990006332,-3141.373589201122741,11.832332211116391
1,923,-3129.541270001748671,-3141.910512889427991,12.369242887679238
1,923,-3129.541284268334948,-3142.460951621118511,12.919667352783602
1,923,-3129.541296923735445,-3143.004035291852233,13.462738368116590
1,923,-3129.541305632168587,-3143.521627738167354,13.980322105998981
1,923,-3129.541309198625186,-3144.001964859733107,14.460655661107726
1,923,-3129.541307427709398,-3144.441659923766565,14.900352496057277
1,923,-3129.541300941710233,-3144.846080691694624,15.304779749984421
1,923,-3129.541290869157820,-3145.228443157791844,15.687152288633811
1,923,-3129.541279141999894,-3145.607843892376877,16.066564750376791
1,923,-3129.541268408939231,-3146.006162427891468,16.464894018952169
1,923,-3129.541262079822445,-3146.443719884381153,16.902457804558637
1,923,-3129.541263675940627,-3146.933978096070859,17.392714420130126
1,923,-3129.541275545509507,-3147.478249983722890,17.936974438213447
1,923,-3129.541298479635770,-3148.061932678281664,18.520634198645944
1,923,-3129.541330374734116,-3148.653754705362189,19.112424330628080
1,923,-3129.541367165495103,-3149.208859001542805,19.667491836047795
1,923,-3129.541403142422496,-3149.675453790724532,20.134050648301979
1,923,-3129.541432447504576,-3150.003672500372886,20.462240052868239
1,923,-3129.541450863394857,-3150.154512864199660,20.613062000804639
1,923,-3129.541456453574028,-3150.106538451630968,20.565081998057082
1,923,-3129.541450112387793,-3149.858632540900999,20.317182428513227
1,923,-3129.541434696914621,-3149.428501718279676,19.887067021365169
1,923,-3129.541413309138534,-3148.848348573838848,19.306935264700179
1,923,-3129.541387805872091,-3148.160104400045384,18.618716594173492
1,923,-3129.541359700000157,-3147.411887636700158,17.870527936699897
1,923,-3129.541331397577778,-3146.655211301965210,17.113879904387481
1,923,-3129.541307598570711,-3145.940755415997955,16.399447817427468
1,923,-3129.541294143071354,-3145.311200719173939,15.769906576102560
1,923,-3129.541295180008547,-3144.792600618606684,15.251305438598280
1,923,-3129.541310333489037,-3144.388464571867189,14.847154238378035
1,923,-3129.541334361854751,-3144.080466467176848,14.539132105321869
1,923,-3129.541359124839346,-3143.836456538996572,14.295097414157429
1,923,-3129.541376959437002,-3143.622747766848988,14.081370807411901
1,923,-3129.541383422588297,-3143.415794421154715,13.874410998566381
1,923,-3129.541379077478268,-3143.208844025146391,13.667464947668250
1,923,-3129.541368564684490,-3143.011293303199636,13.469924738515335
1,923,-3129.541358032630342,-3142.841710743684416,13.300352711054234
1,923,-3129.541351651938385,-3142.718693704321595,13.177342052383011
1,923,-3129.541349694295604,-3142.654700471875913,13.113350777580099
1,923,-3129.541350226292707,-3142.655241330421632,13.113891104128808
1,923,-3129.541351712277446,-3142.721360479055420,13.180008766778172
1,923,-3129.541354239478096,-3142.851609003583235,13.310254764104972
1,923,-3129.541358128456523,-3143.042111151969948,13.500753023513262
1,923,-3129.541363201716649,-3143.286149523895801,13.744786322178928
1,923,-3129.541369398389179,-3143.574388942558471,14.033019544169477
1,923,-3129.541377295858638,-3143.895032768573401,14.353655472714959
1,923,-3129.541387450210550,-3144.233215501149061,14.691828050938387
1,923,-3129.541399165077564,-3144.570475063724189,15.029075898646678
1,923,-3129.541410485040615,-3144.885747342199465,15.344336857159032
1,923,-3129.541418557566431,-3145.158445151554588,15.617026593988221
1,923,-3129.541420361242217,-3145.372991358528907,15.831570997286473
1,923,-3129.541414221057039,-3145.523377834046187,15.981963612989095
1,923,-3129.541400159845125,-3145.616023803306234,16.074623643460988
1,923,-3129.541380689039670,-3145.669545598848345,16.128164909808536
1,923,-3129.541360074223576,-3145.710961675004910,16.169601600781462
1,923,-3129.541343620399857,-3145.768941820082546,16.227598199682738
1,923,-3129.541336044545460,-3145.865601733548374,16.324265689002686
1,923,-3129.541340268548993,-3146.009022324537909,16.467682055989094
1,923,-3129.541355696287610,-3146.189034105723749,16.647678409436168
1,923,-3129.541377890074727,-3146.378411948164739,16.837034058089902
1,923,-3129.541399328722036,-3146.540098334783579,16.998699006061621
1,923,-3129.541412207032863,-3146.638754856825926,17.097342649793177
1,923,-3129.541411286180846,-3146.652825168393065,17.111413882212446
1,923,-3129.541396128308406,-3146.582480499649591,17.041084371341270
1,923,-3129.541371785657702,-3146.449957229093343,16.908585443435506
1,923,-3129.541346568972131,-3146.291739031575162,16.750392462603028
1,923,-3129.541328798878567,-3146.145603886095614,16.604275087217239
1,923,-3129.541323155596729,-3146.037859063324504,16.496535907727726
1,923,-3129.541329576217322,-3145.975762353654318,16.434432777436857
1,923,-3129.541343859303197,-3145.947393443531382,16.406049584228391
1,923,-3129.541360300800534,-3145.927745440235867,16.386385139435177
1,923,-3129.541373995630693,-3145.887458945532671,16.346084949901957
1,923,-3129.541382222811535,-3145.800512722309577,16.259130499497996
1,923,-3129.541383937407318,-3145.648952287868269,16.107568350460873
1,923,-3129.541379166187653,-3145.424836964823044,15.883457798635400
1,923,-3129.541368503711510,-3145.130478536834744,15.589110033123166
1,923,-3129.541353461038398,-3144.777500991507168,15.236147530468664
1,923,-3129.541336683042573,-3144.384420303877960,14.843083620835376
1,923,-3129.541321301478547,-3143.972601508483422,14.431280207004818
1,923,-3129.541309555703265,-3143.561608142443220,14.020298586739768
1,923,-3129.541301783875042,-3143.165872832414607,13.624571048539451
1,923,-3129.541296613024315,-3142.794167698265937,13.252871085241498
1,923,-3129.541291862459275,-3142.451740731374230,12.910448868914976
1,923,-3129.541286089428013,-3142.143473106000783,12.602187016572765
1,923,-3129.541279334642695,-3141.876059443793565,12.334780109150726
1,923,-3129.541272949036284,-3141.658061640670894,12.116788691634456
1,923,-3129.541268681990005,-3141.497999324535158,11.956730642545001
