nb_proc,real,user,sys
2,79.03,156.95,0.55 
3,56.29,167.29,0.65 
4,45.14,178.61,0.75 
5,38.63,190.74,0.79 
6,34.23,202.63,0.89 
7,31.60,218.03,0.92 
8,29.11,229.40,1.04 
9,43.43,386.63,1.26 
10,41.80,412.97,1.32 
11,40.39,438.57,1.77 
12,37.90,448.81,1.50 
13,36.84,472.32,1.74 
14,36.81,507.86,2.35 
15,36.06,532.94,2.23 
16,34.41,541.99,2.40 
17,33.28,556.76,2.47 
18,34.50,611.04,2.72 
19,33.24,620.87,2.85 
20,33.29,654.01,3.64 
21,32.62,569.31,107.51 
22,31.74,590.64,98.72 
23,32.12,619.59,109.43 
24,31.63,637.38,111.65 
25,31.41,666.15,107.87 
26,31.18,690.68,109.28 
