direct summation or ljts,number of atoms,average runtime,minimum runtime,maximum runtime,corrected sample standard deviation
ljts,50,450.6,441,484,12.980326994682722
ljts,100,1352.5,1309,1427,34.81777962159244
ljts,150,2731.3,2713,2753,13.808612449401924
ljts,200,4225.5,4210,4237,10.51189802081432
ljts,250,5045.2,4988,5126,44.844917958077104
ljts,300,6813.4,6714,6877,56.008332713385904
ljts,350,9454.8,9352,9680,100.99262899395733
ljts,400,11438,11300,11555,112.67948645013726
ljts,450,12585.6,12544,12672,35.66573207498263
ljts,500,14282.3,14207,14473,93.15584313992929
ljts,550,15839,15803,15866,15.477582354991865
ljts,600,18164.1,18116,18235,37.41494056894623
ljts,650,20139.3,20098,20198,31.418501272693174
ljts,700,21405.5,21274,21674,153.73805283302144
ljts,750,23525.4,23471,23650,53.20442755176593
direct,50,303.5,301,313,4.1163630117428225
direct,100,1239.6,1233,1256,6.899275324264136
direct,150,2794.7,2775,2826,20.907468096884
direct,200,4934.4,4914,4961,16.87996840439381
direct,250,7766.3,7686,7848,63.53660362342325
direct,300,11054.3,11011,11204,76.2190556517492
direct,350,14993.6,14976,15024,14.751271131668618
direct,400,19576.2,19547,19614,25.685274640021532
direct,450,24816.4,24723,25193,146.83641691805656
direct,500,30587.5,30503,30876,124.31881059062086
direct,550,37026.4,36917,37606,226.4892442871797
direct,600,43987.8,43899,44435,170.56429221199198
direct,650,51603.3,51510,51865,131.00555543775826
direct,700,59844.1,59701,60184,180.09222945788392
direct,750,68815.4,68537,69531,370.1030487130127
