direct summation or ljts,number of atoms,average runtime,minimum runtime,maximum runtime,corrected sample standard deviation
ljts,200,6547.6,5825,8328,663.3769164911704
ljts,400,10807.4,8292,12987,1680.1861801598059
ljts,600,13725.9,12153,17772,2149.913354843244
ljts,800,14150.9,13332,15872,729.6311777573349
ljts,1000,15208.8,14081,18226,1581.5771172401862
ljts,1200,16314.8,15479,17354,498.8989655008093
ljts,1400,17637.6,17014,18349,474.9264738415364
ljts,1600,18773.5,18279,19376,348.7976968578395
ljts,1800,20334.6,19618,20960,468.1927902999884
ljts,2000,21458.2,20086,23591,1129.7862924760002
ljts,2200,24242.5,22898,27405,1643.7985311804823
ljts,2400,25253.6,24469,26481,550.6317987346697
ljts,2600,26982.1,25974,29783,1317.3456856708324
ljts,2800,26739,25181,28915,1277.4338860909136
ljts,3000,27544.3,26299,29307,875.0889542085296
ljts,3200,28212.1,27346,29600,774.4042082645069
ljts,3400,31327.3,29892,35027,1434.292396193251
ljts,3600,31922.9,29731,36075,1983.8354238416273
ljts,3800,32163.2,30946,33338,760.846575277244
ljts,4000,33936.4,32144,36106,1103.253894421205
ljts,4200,39257.2,36560,43354,2313.667065264337
ljts,4400,41056.6,40120,43410,945.0331211126942
ljts,4600,40014.6,37755,44633,2284.7260570045496
ljts,4800,42883.7,41423,44072,836.3627668528638
ljts,5000,43709.8,41616,46823,1695.0063782246432
ljts,5200,44866.3,42564,47713,1413.2286164036668
ljts,5400,45728.2,44622,47964,1112.6428797137821
ljts,5600,49595.9,47049,54106,2186.721363645177
ljts,5800,45671.4,44274,46927,905.5490906381362
ljts,6000,46262.6,44806,48734,1435.8927691316105
ljts,6200,50077.2,49046,51866,870.9528370953528
ljts,6400,49569.3,47718,52336,1446.0533300446887
ljts,6600,50993.3,49078,51780,819.946617503576
ljts,6800,55910.9,53987,59771,1774.2599991107402
ljts,7000,56380.1,53960,58743,1601.9666004286385
ljts,7200,60428.2,58740,62965,1382.095333582713
ljts,7400,58986.1,56665,62376,1748.1472382687527
ljts,7600,60974.5,59518,62246,1003.0518154335022
ljts,7800,63195.1,60171,67738,2570.6582144570593
ljts,8000,65898.2,63636,78299,4469.815253452876
ljts,8200,69430.7,67289,71776,1576.4910437776393
ljts,8400,73110,71225,75282,1315.7960834921698
ljts,8600,89644.7,85938,94162,3060.884441900195
ljts,8800,76848.6,74244,81939,2420.7559058185843
ljts,9000,67353.7,64628,71063,1868.5590437553747
ljts,9200,78884,77293,81293,1401.0523822390717
ljts,9400,87676.1,84235,92960,2505.3433763325406
ljts,9600,102919.8,99061,105871,2406.94115701513
ljts,9800,87901.8,85198,90435,1936.0737933594714
ljts,10000,81811.4,79569,83604,1117.7173365589551
