direct summation or ljts,number of atoms,average runtime,minimum runtime,maximum runtime,corrected sample standard deviation
ljts,500,13087.7,12645,15858,981.0135405113768
ljts,1000,27896.5,27768,28265,158.57928265977523
ljts,1500,46452.9,46249,47005,246.53124661096322
ljts,2000,61583.3,61387,62244,250.68220253274197
ljts,2500,83828,83684,84179,147.47353811597674
ljts,3000,96155.8,95795,96777,358.14640085367944
ljts,3500,120949.9,120243,123620,992.1088033969751
ljts,4000,136928.8,134992,141105,2100.031788119197
ljts,4500,158370.5,157750,159759,607.9145133615051
ljts,5000,179281.9,178707,179949,464.3802201740389
ljts,5500,194495.9,193938,194962,357.5610126646609
ljts,6000,209866.1,208119,213188,1448.83895662086
ljts,6500,227076.2,226485,227889,514.4444252459799
ljts,7000,249132.9,248581,249685,460.22807147954126
ljts,7500,261347,260752,262089,429.95787907395976
ljts,8000,279091.6,278602,279792,441.0465331962654
ljts,8500,315778,310675,318701,3358.1442957548907
ljts,9000,333754.9,330129,338473,2966.312055585371
ljts,9500,356513.4,355778,357490,560.0266263511246
ljts,10000,376046.7,374584,379890,1747.8094893640757
ljts,10500,394139.6,393280,394735,431.70571251979305
ljts,11000,397546.5,396704,398158,476.2833540376289
ljts,11500,415423.5,414783,416332,505.9036469526584
ljts,12000,433240.4,432816,433706,308.34151340500506
ljts,12500,469997.6,463182,472838,3830.011900184588
ljts,13000,476745.8,476345,477497,434.57943910048124
ljts,13500,503302.4,495516,509196,4307.612311039868
ljts,14000,512192.1,511681,512958,423.1725285139489
ljts,14500,533044,529979,541272,4239.703920479982
ljts,15000,549477.1,548702,550516,616.7429592445931
ljts,15500,568174.1,567274,568967,546.6586279896766
ljts,16000,587237,585626,590096,1373.0200289871957
ljts,16500,612434.5,611126,613892,828.6703204531944
ljts,17000,648642.2,645716,657719,3830.8456797712724
ljts,17500,676077.7,675269,677125,635.8747343445702
ljts,18000,685653.6,684584,687333,903.1538813144376
ljts,18500,710073.7,707184,721486,4134.705338150874
ljts,19000,752601.4,751381,755294,1084.0508598154731
ljts,19500,763771.4,762958,764645,719.6555040048289
ljts,20000,801660.9,800946,803049,612.2870514173343
ljts,20500,836075.8,821238,841242,7735.528435587176
ljts,21000,845362.3,844209,847031,1105.812928724083
ljts,21500,866082.5,865391,867256,569.9226555712041
ljts,22000,874263.6,872961,875685,898.2146736721684
ljts,22500,906295.1,891455,911729,8240.845216224958
ljts,23000,933014.8,917593,938818,8685.47838892277
ljts,23500,944772.8,938547,960915,8997.5321036135
