direct summation or ljts,number of atoms,average runtime,minimum runtime,maximum runtime,corrected sample standard deviation
ljts,500,10032.4,8736,13344,1377.7410819485963
ljts,1000,18101.8,14414,24225,3804.672735232588
ljts,1500,18251.8,17305,19771,878.5620575058366
ljts,2000,20367.9,19771,21121,465.2324269772165
ljts,2500,24629.1,23728,25652,661.7872182372687
ljts,3000,27241.8,25832,28655,939.7716980439689
ljts,3500,30247,28852,37683,2659.2933480740917
ljts,4000,31848.6,30929,33315,848.3038239792261
ljts,4500,36259.7,34082,39461,1857.473436328678
ljts,5000,39383.5,36749,47008,2947.6144497617806
ljts,5500,41007.4,39790,42987,939.5561836432254
ljts,6000,43914.6,41497,49374,2302.3759804939673
ljts,6500,45211.1,43462,47555,1150.0926001365667
ljts,7000,49157,46532,54210,2135.6151858942712
ljts,7500,50779.4,49700,52272,845.6908024410183
ljts,8000,53476,50966,61712,3150.754407016411
ljts,8500,56916.7,55616,59939,1654.4980474116278
ljts,9000,60558.5,58829,65213,2016.0913366655236
ljts,9500,63676.5,60893,67918,2051.2098462452186
ljts,10000,66182,64720,68549,1123.1721941794044
ljts,10500,68811,66038,74519,2563.620443392075
ljts,11000,70609.3,67854,73560,1950.9754284004248
ljts,11500,72690.1,70308,75421,1557.4493000487116
ljts,12000,74954.9,73182,78942,1751.6810624210232
ljts,12500,78293.6,75443,84431,2438.521100084138
ljts,13000,80784.7,77073,85241,2058.5552673875163
ljts,13500,81473.1,78794,84867,2176.3844865586902
ljts,14000,85634,83542,92518,2621.412172432595
ljts,14500,88231.5,86092,92726,2053.9926565918713
ljts,15000,90534.3,88605,97823,2690.732616056659
ljts,15500,93356.4,90223,97807,2249.079871117668
ljts,16000,96895.6,93254,99441,2031.1107634329874
ljts,16500,102043.3,97536,104657,2270.9734598967807
ljts,17000,106438.7,101829,114987,3484.257996889566
ljts,17500,107946.6,103832,111919,2698.7401669832702
ljts,18000,111715.4,109098,115599,2238.8251482517444
ljts,18500,115476.9,111818,117982,1961.9116216361813
ljts,19000,119151.5,114979,124312,2887.3832924947424
ljts,19500,121246.7,117597,123918,2455.5326215620826
ljts,20000,124736.3,121694,129421,2355.292293726808
ljts,20500,129160.2,124701,138840,3883.8623902845306
ljts,21000,132210.4,127631,134770,2014.2911187589323
ljts,21500,134929.5,131505,137844,2623.081997701686
ljts,22000,135446.2,132005,139785,2200.6509542001936
ljts,22500,139232,134418,142539,2437.394784053936
ljts,23000,141768.3,139031,145264,1977.7776557428178
ljts,23500,143954.6,140383,147692,1932.470681105753
